HHID,s04_start_time,s04q01,s04q02,s04q03,s04q04,s04q05,s04q06,s04q07,s04q08,s04q08_oth,s04q16,s04q19a,s04q19b,s04q19c,s04q19d,s04q20,s04q21,s04q26,s04q27a,s04q27b,s04q27c,s04q27d,s04q27e,s04q27f,s04q27g,s04q28,s04q28_oth,s04q29a,s04q29a_UM,s04q29b,s04q29b_UM,s04q30,s04_end_time
06e4cc5c48f54eccbb63a1ad21aaeb3c,2019-11-27T14:56:08,1,90,1,Wood or logs,Tiles,Bamboo strips,Publicly-provided electricity/City power,"Tube Well, Borehole",,4400,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,7100,24000,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,200000,RIEL,Nothing,2019-11-27T15:06:02
0714d4a6cb98400db05a82ac8b3486bc,2019-11-20T14:27:34,1,30,1,Galvanized iron or aluminium or other metal sheets,Tiles,Bamboo strips,Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,Pour flush (or flush) to septic tank or pit,Yes,"No, never pump/empty",,Nothing,Nothing,Firewood,3500,Did not spend anything,Did not spend anything,5000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,120000,RIEL,Nothing,2019-11-20T14:30:33
075e1835cbd94a3086b0d371d877e5fe,2019-12-11T09:41:51,1,64,2,"Concrete, brick, stone",Tiles,Ceramic tiles,Publicly-provided electricity/City power,Bottled water,,22500,Pour flush (or flush connected to sewerage,No,"No, never pump/empty",,2500,4000,Liquefied petroleum gas LPG,100000,43000,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Rented,,2400000,RIEL,,,Nothing,2019-12-11T09:48:59
0779acafac4d4165a3004be41915f959,2019-10-23T14:36:12,1,67.2,2,"Concrete, brick, stone",Concrete,Ceramic tiles,Publicly-provided electricity/City power,Piped into dwelling,,15000,Pour flush (or flush connected to sewerage,No,"No, never pump/empty",,1500,24000,Liquefied petroleum gas LPG,360000,25000,Did not spend anything,Did not spend anything,5000,Did not spend anything,Did not spend anything,Owned by the household,,,,2000000,RIEL,Nothing,2019-10-23T14:43:05
07cdde296ec44a5d92e6b1f5c035cea4,2019-12-22T09:44:55,1,39,1,"Concrete, brick, stone",Tiles,Ceramic tiles,Publicly-provided electricity/City power,Cart with small tank / drum,,20000,Pour flush (or flush connected to sewerage,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,20000,6000,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,16000,RIEL,Nothing,2019-12-22T09:48:31
08297a2fd51f487aace781b8a2c76727,2019-12-07T09:03:40,1,13.5,1,"Concrete, brick, stone",Galvanized iron or aluminium or other metal sheets,Ceramic tiles,Publicly-provided electricity/City power,Bottled water,,10000,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,20000,25000,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Not owned but no rent is paid,,,,120000,RIEL,Nothing,2019-12-07T09:11:18
0829929f2bf64718a161f20440ba6b04,2019-11-27T16:35:30,1,42,2,Wood or logs,Galvanized iron or aluminium or other metal sheets,Wooden planks,Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,Did not spend anything,32000,Did not spend anything,5000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,80000,RIEL,5000000,2019-11-27T16:41:50
082e22bb24274f188832114df7ba50ca,2019-12-22T11:45:29,1,64,2,"Concrete, brick, stone",Galvanized iron or aluminium or other metal sheets,Ceramic tiles,Publicly-provided electricity/City power,Piped into dwelling,,9500,Pour flush (or flush connected to sewerage,No,"No, never pump/empty",,1340,4000,Liquefied petroleum gas LPG,40800,30000,Did not spend anything,Did not spend anything,2000,Did not spend anything,Did not spend anything,Rented,,600000,RIEL,,,Nothing,2019-12-22T11:55:51
08796f686b43440cb2cba4e917fcc79f,2019-10-09T14:56:52,1,30,1,Wood or logs,Galvanized iron or aluminium or other metal sheets,Cement/Brick/Stone,Publicly-provided electricity/City power,Bottled water,,50000,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Charcoal,17000,30000,Did not spend anything,Did not spend anything,25000,Did not spend anything,Did not spend anything,Owned by the household,,,,150000,RIEL,Nothing,2019-10-09T15:06:55
089dc40ae5c14ddfba4a08f274ebc66a,2019-10-21T09:20:46,1,42,1,Galvanized iron or aluminium or other metal sheets,Galvanized iron or aluminium or other metal sheets,Bamboo strips,Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Firewood,5000,Did not spend anything,Did not spend anything,35000,Did not spend anything,Did not spend anything,Did not spend anything,Not owned but no rent is paid,,,,100000,RIEL,Nothing,2019-10-21T09:25:39
0908e3263f364a8f858449ab8a202f81,2019-11-28T14:18:12,1,42,2,Galvanized iron or aluminium or other metal sheets,Galvanized iron or aluminium or other metal sheets,Cement/Brick/Stone,Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Firewood,20000,Did not spend anything,Did not spend anything,70000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,200000,RIEL,Nothing,2019-11-28T14:25:02
097c203533a642959b29f5623bd83c2d,2019-11-08T15:49:51,1,24,1,Galvanized iron or aluminium or other metal sheets,Galvanized iron or aluminium or other metal sheets,Cement/Brick/Stone,Publicly-provided electricity/City power,Bottled water,,not buying water source,Pour flush (or flush) to septic tank or pit,No,Don't know,,Nothing,Nothing,Charcoal,32000,Did not spend anything,Did not spend anything,Did not spend anything,25000,Did not spend anything,Did not spend anything,Owned by the household,,,,80000,RIEL,Nothing,2019-11-08T16:01:04
09b5e80df92c4dd68c003617a5020ca4,2019-10-22T08:28:50,1,48,1,"Bamboo, Thatch/leaves, Grass",Galvanized iron or aluminium or other metal sheets,Wooden planks,Solar,"Tube Well, Borehole",,not buying water source,None,,,,Nothing,Nothing,Firewood,Did not spend anything,Did not spend anything,Did not spend anything,38000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,85000,RIEL,Nothing,2019-10-22T08:30:52
09bfa16a0ec24d21a02043ba7aa06833,2019-11-23T08:55:09,1,45,1,Galvanized iron or aluminium or other metal sheets,Thatch/leaves/grass,"Earth, clay",Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,"Other, specify",Yes,"No, never pump/empty",,Nothing,Nothing,Firewood,8500,Did not spend anything,Did not spend anything,35000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,80000,RIEL,Nothing,2019-11-23T09:01:04
09c60b2f05a341c5a7091a23ce3b5a37,2019-12-28T15:57:00,1,45,1,Wood or logs,Tiles,Bamboo strips,Publicly-provided electricity/City power,Piped into dwelling,,6000,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Firewood,15000,Did not spend anything,Did not spend anything,20000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,160000,RIEL,Nothing,2019-12-28T16:05:10
09e24292f9b44d5e85f18e9f92ae2d45,2019-12-29T09:54:37,1,40,2,"Concrete, brick, stone",Galvanized iron or aluminium or other metal sheets,Ceramic tiles,Publicly-provided electricity/City power,Piped into dwelling,,14250,Pour flush (or flush connected to sewerage,No,"No, never pump/empty",,Nothing,5000,Liquefied petroleum gas LPG,76920,20000,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,120,USD,Nothing,2019-12-29T09:58:38
0a00f9b3a101408786b0c4281b414830,2019-12-10T07:26:13,1,35,1,Wood or logs,Galvanized iron or aluminium or other metal sheets,Wooden planks,Solar,"Tube Well, Borehole",,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Firewood,Did not spend anything,Did not spend anything,Did not spend anything,23000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,75000,RIEL,200000,2019-12-10T07:37:06
0a4817afd18043f6938d29fb85c6fdec,2019-11-27T14:57:33,1,48,1,Wood or logs,Tiles,Wooden planks,Battery,"Tube Well, Borehole",,not buying water source,None,,,,Nothing,Nothing,Firewood,Did not spend anything,Did not spend anything,Did not spend anything,20000,Did not spend anything,3000,Did not spend anything,Owned by the household,,,,100000,RIEL,Nothing,2019-11-27T15:01:17
0ab06004c5b046cead1ca6bf139ba74a,2019-11-13T15:44:27,1,42,1,Galvanized iron or aluminium or other metal sheets,Galvanized iron or aluminium or other metal sheets,Wooden planks,Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,None,,,,Nothing,Nothing,Firewood,2000,Did not spend anything,Did not spend anything,30000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,80000,RIEL,Nothing,2019-11-13T15:54:09
0ac6b411aa0b4769a8c5b5bacc2d2d3c,2019-10-24T06:25:57,1,72,1,Wood or logs,Fibrous cement,"Parquet, polished wood",Solar,Protected well,,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Firewood,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,250000,Not owned but no rent is paid,,,,40000,RIEL,Nothing,2019-10-24T06:32:00
0acfe596b79542198e8afcb0599e0537,2019-11-27T08:06:10,1,20,1,Wood or logs,Galvanized iron or aluminium or other metal sheets,Wooden planks,Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,Pit latrine with slab,No,"No, never pump/empty",,Nothing,Nothing,Firewood,16000,Did not spend anything,Did not spend anything,60000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,200000,RIEL,Nothing,2019-11-27T08:09:26
0afdadd0d9884373a0086a0747d5d639,2019-12-12T09:05:14,2,30,1,Wood or logs,Galvanized iron or aluminium or other metal sheets,"Parquet, polished wood",Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,None,,,,Nothing,Nothing,Firewood,15000,6000,Did not spend anything,10000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,200000,RIEL,Nothing,2019-12-12T09:13:16
0b469d9c8efc4f4ba0bb6741046632f4,2019-12-27T14:44:00,1,20,1,"Concrete, brick, stone",Galvanized iron or aluminium or other metal sheets,Ceramic tiles,Publicly-provided electricity/City power,"Tube Well, Borehole",,10000,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Liquefied petroleum gas LPG,12000,30000,Did not spend anything,Did not spend anything,7000,Did not spend anything,Did not spend anything,Rented,,200000,RIEL,,,Nothing,2019-12-27T14:48:41
0b7e0c4ab65540a794f1c50ea776e803,2019-10-14T09:32:39,1,75,1,"Concrete, brick, stone",Galvanized iron or aluminium or other metal sheets,"Earth, clay",Publicly-provided electricity/City power,Piped into dwelling,,15000,Pour flush (or flush connected to sewerage,Yes,"No, never pump/empty",,Nothing,Nothing,Firewood,18000,Did not spend anything,Did not spend anything,30000,13000,Did not spend anything,Did not spend anything,Owned by the household,,,,100,USD,Nothing,2019-10-14T09:39:51
0b7f7d10600943d0a54d0a81f0a677ac,2019-10-28T14:11:00,1,24,1,Galvanized iron or aluminium or other metal sheets,Galvanized iron or aluminium or other metal sheets,Cement/Brick/Stone,Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,Pour flush (or flush) to septic tank or pit,Yes,"No, never pump/empty",,Nothing,Nothing,Firewood,1400,Did not spend anything,Did not spend anything,20000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,40000,RIEL,Nothing,2019-10-28T14:14:10
0bc68ee88c704b649c3d0bcad2cbb5ed,2019-10-11T07:44:50,1,42,2,Galvanized iron or aluminium or other metal sheets,Fibrous cement,Bamboo strips,Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Firewood,20000,15000,Did not spend anything,20000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,200000,RIEL,Nothing,2019-10-11T07:49:59
0bcbbac599034301955f0d63e26b12c3,2019-10-24T10:52:09,1,63,3,"Concrete, brick, stone",Galvanized iron or aluminium or other metal sheets,Ceramic tiles,Publicly-provided electricity/City power,Piped into dwelling,,30000,Pour flush (or flush connected to sewerage,No,"No, never pump/empty",,3000,4000,Liquefied petroleum gas LPG,90000,10000,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,300,USD,Nothing,2019-10-24T10:54:57
0bd56c2f7f65451d89334d3d57b616e5,2019-12-03T09:45:31,1,56,1,Wood or logs,Tiles,Wooden planks,Publicly-provided electricity/City power,"Tube Well, Borehole",,not buying water source,Pour flush (or flush) to elsewhere (i.e. not a sewer or pit/tank),No,"No, never pump/empty",,Nothing,Nothing,Firewood,15000,Did not spend anything,Did not spend anything,45000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,120000,RIEL,Nothing,2019-12-03T09:51:22
0bde7cf2ae0a405da38311ab9438c1fb,2019-10-09T11:36:53,1,108,1,Wood or logs,Fibrous cement,"Parquet, polished wood",Publicly-provided electricity/City power,Bottled water,,20000,Pour flush (or flush) to septic tank or pit,No,"Yes, used to pump/empty",Remove the feces by using a tanker truck for cleaning sewage,Nothing,Nothing,Liquefied petroleum gas LPG,45000,14000,Did not spend anything,Did not spend anything,3000,Did not spend anything,Did not spend anything,Owned by the household,,,,300,USD,Nothing,2019-10-09T11:51:04
0c069fd542dc43aeb9db1d0403ebf239,2019-12-28T10:23:05,1,20,1,Wood or logs,Galvanized iron or aluminium or other metal sheets,"Earth, clay",Kerosene lamp,"Surface water (river, stream, dam, lakes, ponds, streams, canals, and irrigeation channels)",,not buying water source,Pour flush (or flush) to septic tank or pit,No,"No, never pump/empty",,Nothing,Nothing,Firewood,Did not spend anything,Did not spend anything,4000,50000,Did not spend anything,Did not spend anything,Did not spend anything,Owned by the household,,,,60000,RIEL,Nothing,2019-12-28T10:28:25
