HHID,PID,s11_start_time,s11q01a,s11q01b,s11q02,s11q03,s11q04,s11q05,s11q06,s11q07,s11q08,s11q09a,s11q09a_oth,s11q09b,s11q10,s11q11__1,s11q11__2,s11q11__3,s11q12,s11q13,s11q14,s11q15a,s11q15b,s11q16a,s11q16b,s11q16c,s11q16d,s11q16e,s11q16f,s11q16g,s11q16h,s11q17a,s11_end_time
01ee6d7c5432467cb5aeb7d243862375,3,2019-12-29T14:53:03,Yes,,Yes,Yes,Yes,7,Class seven completed,Yes,Class eight,,,Public,Yes,,,,No,,,Yes,Class seven,No expenses / Don't Know,500000,30000,120000,No expenses / Don't Know,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-12-29T15:06:04
01ee6d7c5432467cb5aeb7d243862375,4,2019-12-29T15:06:10,No,2,Yes,Yes,Yes,5,Class five completed,Yes,Class six,,,Public,No,,,,No,,,Yes,Class five,No expenses / Don't Know,No expenses / Don't Know,20000,150000,No expenses / Don't Know,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-12-29T15:16:47
01ee6d7c5432467cb5aeb7d243862375,5,2019-12-29T15:17:15,No,2,No,No,No,,,,,,,,,Too young,,,No,,,No,,,,,,,,,,ALONE,2019-12-29T15:28:10
01faa82436bf42cdb200eab624566a14,1,2019-12-11T12:34:31,Yes,,No,No,Yes,1,Class one completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-11T12:35:43
01faa82436bf42cdb200eab624566a14,2,2019-12-11T15:17:36,Yes,,Yes,Yes,Yes,5,Class five completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-11T15:18:15
01faa82436bf42cdb200eab624566a14,3,2019-12-11T14:31:21,Yes,,Yes,Yes,Yes,6,Class six completed,Yes,Class seven,,,Public,Yes,,,,No,,,No,,,,,,,,,,ALONE,2019-12-11T14:32:00
01faa82436bf42cdb200eab624566a14,4,2019-12-11T14:35:33,Yes,,Yes,Yes,Yes,4,Class four completed,Yes,Class four,,,Public,No,,,,No,,,No,,,,,,,,,,ALONE,2019-12-11T14:37:05
01faa82436bf42cdb200eab624566a14,5,2019-12-11T14:38:45,No,1,No,No,Yes,1,Class one completed,Yes,Class two,,,Public,No,,,,No,,,No,,,,,,,,,,ALONE,2019-12-11T14:39:37
01faa82436bf42cdb200eab624566a14,6,2019-12-11T11:31:40,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-11T11:32:10
0269b3003f0742b1a12f9878728442bf,1,2019-11-27T09:44:53,Yes,,Yes,Yes,Yes,7,Class six completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-27T09:45:30
0269b3003f0742b1a12f9878728442bf,2,2019-11-27T09:42:47,Yes,,Yes,Yes,Yes,6,Class six completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-27T09:43:54
0269b3003f0742b1a12f9878728442bf,3,2019-11-27T09:44:00,Yes,,Yes,Yes,Yes,11,Class eleven completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-27T09:44:48
0269b3003f0742b1a12f9878728442bf,4,2019-11-27T09:45:36,No,2,Yes,Yes,Yes,12,Higher education certificate (BacII),Yes,College/university undergraduate,,,Private,No,,,,No,,,Yes,Class twelve,No expenses / Don't Know,675000,35000,12000,No expenses / Don't Know,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-11-27T09:48:59
0269b3003f0742b1a12f9878728442bf,5,2019-11-27T09:49:04,No,2,Yes,Yes,Yes,3,Class two completed,Yes,Class three,,,Public,No,,,,No,,,Yes,Class two,No expenses / Don't Know,No expenses / Don't Know,10000,3500,No expenses / Don't Know,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-11-27T09:51:06
0269b3003f0742b1a12f9878728442bf,6,2019-11-27T09:51:13,Yes,,Yes,Yes,Yes,9,Class nine completed without certificate,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-27T09:52:14
02a2c53daab74586bc8d06a54c1680f1,1,2019-12-19T16:59:49,Yes,,Yes,Yes,Yes,2,Class two completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-19T17:01:13
02a2c53daab74586bc8d06a54c1680f1,2,2019-12-19T13:38:28,Yes,,Yes,Yes,Yes,2,Class two completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-19T13:44:20
02a2c53daab74586bc8d06a54c1680f1,3,2019-12-19T15:00:46,No,2,Yes,Yes,Yes,4,Class four completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-19T15:02:30
02a2c53daab74586bc8d06a54c1680f1,4,2019-12-19T15:37:10,No,2,Yes,No,Yes,5,Class five completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-19T15:41:01
02a2c53daab74586bc8d06a54c1680f1,5,2019-12-19T16:05:49,No,2,Yes,Yes,Yes,8,Class eight completed,Yes,Class nine,,,Public,No,,,,No,,,No,,,,,,,,,,ALONE,2019-12-19T16:09:50
02a2c53daab74586bc8d06a54c1680f1,6,2019-12-19T16:29:27,No,2,No,No,Yes,1,Class one completed,Yes,Class two,,,Public,No,,,,No,,,Yes,Class one,No expenses / Don't Know,No expenses / Don't Know,50000,5000,No expenses / Don't Know,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-12-19T16:35:58
02a2c53daab74586bc8d06a54c1680f1,7,2019-12-19T16:41:36,No,2,No,No,Yes,1,Class one completed,Yes,Class two,,,Public,No,,,,No,,,Yes,Class one,No expenses / Don't Know,No expenses / Don't Know,50000,5000,No expenses / Don't Know,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-12-19T16:48:12
02d43ed756e144dc90d561c9fd356c7e,1,2019-11-29T09:50:25,Yes,,Yes,Yes,Yes,8,Class eight completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-29T09:51:46
02d43ed756e144dc90d561c9fd356c7e,2,2019-11-28T08:49:42,Yes,,Yes,Yes,Yes,5,Class five completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-28T08:51:09
02d43ed756e144dc90d561c9fd356c7e,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030e4d8ab2c24272aff127942cad782c,1,2019-10-11T14:40:55,Yes,,Yes,Yes,Yes,4,Class four completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-10-11T14:42:58
0333251a61eb4cae8c684f31a62494a8,1,2019-12-15T10:04:42,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-15T10:05:06
0333251a61eb4cae8c684f31a62494a8,2,2019-12-15T10:05:09,Yes,,No,No,Yes,1,Pre-school/Kindergarten,Yes,Class one,,,Public,No,,,,No,,,Yes,Class one,No expenses / Don't Know,No expenses / Don't Know,4000,5000,No expenses / Don't Know,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-12-15T10:07:20
039da365cf1945ceb695a8ac40985637,1,2019-11-20T11:09:04,Yes,,Yes,Yes,Yes,12,Higher education certificate (BacII),No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-20T11:09:55
039da365cf1945ceb695a8ac40985637,2,2019-11-20T11:09:58,Yes,,Yes,Yes,Yes,10,Class ten completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-20T11:10:33
039da365cf1945ceb695a8ac40985637,3,2019-11-22T09:30:02,Yes,,0,0,Yes,12,Class eleven completed,Yes,Class twelve,,,Public,Yes,,,,No,,,Yes,Class eleven,No expenses / Don't Know,1000000,120000,No expenses / Don't Know,1000000,No expenses / Don't Know,200000,,ALONE,2019-11-22T09:49:22
039da365cf1945ceb695a8ac40985637,4,2019-11-22T09:49:31,No,2,No,No,Yes,1,No class completed,Yes,Pre-school/Kindergarten,State Preschool,,,No,,,,No,,,No,,,,,,,,,,ALONE,2019-11-22T09:50:32
03fc7d5cd0614ef19f42b0d3cadfbeb9,1,2019-12-08T10:08:35,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-08T10:09:18
03fc7d5cd0614ef19f42b0d3cadfbeb9,2,2019-12-08T10:40:21,No,1,Yes,Yes,Yes,5,Class five completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-08T10:41:04
03fc7d5cd0614ef19f42b0d3cadfbeb9,3,2019-12-08T10:41:10,No,1,No,No,Yes,4,Class four completed,No,,,,,,Must help with household chores,Too poor,,No,,,No,,,,,,,,,,ALONE,2019-12-08T10:42:54
03fc7d5cd0614ef19f42b0d3cadfbeb9,4,2019-12-08T10:42:59,No,1,Yes,Yes,Yes,2,Class one completed,Yes,Class two,,,"Other (Specify)""",No,,,,Yes,Yes,Foreign Languages,Yes,Class two,No expenses / Don't Know,No expenses / Don't Know,8400,5000,960000,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-12-08T10:50:04
04a4ecf198c14dceaae4e54355b3e2e9,1,2019-10-15T10:32:08,Yes,,Yes,Yes,Yes,12,Class twelve completed without certificate,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-10-15T10:32:49
04a4ecf198c14dceaae4e54355b3e2e9,2,2019-10-15T10:27:00,Yes,,Yes,Yes,Yes,8,Class eight completed,No,,,,,,,,,Yes,No,,No,,,,,,,,,,ALONE,2019-10-15T10:30:28
04a4ecf198c14dceaae4e54355b3e2e9,3,2019-10-15T10:30:38,No,2,No,No,Yes,1,No class completed,Yes,Class one,,,Public,No,,,,No,,,No,,,,,,,,,,ALONE,2019-10-15T10:32:03
04a4ecf198c14dceaae4e54355b3e2e9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05159f83d1af4989871d6d776e113fc6,1,2019-10-14T21:42:27,Yes,,Yes,Yes,Yes,7,Class seven completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-10-14T21:44:15
05159f83d1af4989871d6d776e113fc6,2,2019-10-14T21:44:22,Yes,,Yes,Yes,Yes,7,Class seven completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-10-14T21:45:33
05159f83d1af4989871d6d776e113fc6,3,2019-10-14T21:45:39,Yes,,Yes,Yes,Yes,9,Class nine completed without certificate,Yes,Class ten,,,Public,Yes,,,,No,,,Yes,Class nine,No expenses / Don't Know,540000,50000,10000,1080000,No expenses / Don't Know,50000,,ALONE,2019-10-14T21:52:33
05159f83d1af4989871d6d776e113fc6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055dbfab1ccc4a29bd09e7864cd17b16,1,2019-10-11T16:18:59,Yes,,Yes,Yes,Yes,8,Class seven completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-10-11T16:19:19
055dbfab1ccc4a29bd09e7864cd17b16,2,2019-10-11T17:51:52,Yes,,Yes,Yes,Yes,9,Lower education certificate (diploma),No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-10-11T17:52:25
055dbfab1ccc4a29bd09e7864cd17b16,3,2019-10-11T17:52:32,No,2,No,No,No,,,,,,,,,Too young,,,No,,,No,,,,,,,,,,ALONE,2019-10-11T17:52:46
0564a37a084d4c59b05015fff6aa3fa9,1,2019-12-23T09:06:26,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-23T09:06:50
0564a37a084d4c59b05015fff6aa3fa9,2,2019-12-23T09:51:29,Yes,,No,No,Yes,4,Class four completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-23T09:52:14
0564a37a084d4c59b05015fff6aa3fa9,3,2019-12-23T09:52:22,No,2,No,No,No,,,,,,,,,Too poor,Too young,,No,,,No,,,,,,,,,,ALONE,2019-12-23T09:52:49
0564a37a084d4c59b05015fff6aa3fa9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056608d9d2d04b6792d59b3e58eef8a7,1,2019-11-12T17:55:31,Yes,,Yes,Yes,Yes,5,Class five completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-12T17:55:54
056608d9d2d04b6792d59b3e58eef8a7,2,2019-11-12T17:36:05,Yes,,No,No,Yes,2,No class completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-12T17:36:23
05718664925a488291b5112b4667bd2a,1,2019-11-30T15:08:13,Yes,,No,No,Yes,2,Class two completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-30T15:10:29
05718664925a488291b5112b4667bd2a,2,2019-11-30T15:10:35,No,1,No,No,Yes,11,Class ten completed,Yes,Class eleven,,,Public,No,,,,No,,,Yes,Class ten,No expenses / Don't Know,No expenses / Don't Know,15000,5000,No expenses / Don't Know,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-11-30T15:11:14
0595774406de4d29bf81cff8fd70f21e,1,2019-11-21T15:14:23,Yes,,Yes,Yes,Yes,3,Class three completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-21T15:16:04
0595774406de4d29bf81cff8fd70f21e,2,2019-11-21T15:16:10,No,1,No,No,No,,,,,,,,,Too young,,,No,,,No,,,,,,,,,,ALONE,2019-11-21T15:18:10
0595774406de4d29bf81cff8fd70f21e,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0595774406de4d29bf81cff8fd70f21e,4,2019-11-21T15:53:59,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-21T15:54:21
05affff23530413bb586aa2942c32488,1,2019-10-22T16:11:06,Yes,,Yes,Yes,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-10-22T16:11:26
05dab3229d3e4a08b6ce1500ad4d5b5b,1,2020-01-02T09:51:27,Yes,,Yes,Yes,Yes,12,Higher education certificate (BacII),No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2020-01-02T09:54:01
063347851fa2444faabc52bb58908172,1,2019-12-27T13:18:35,Yes,,Yes,Yes,Yes,6,Class six completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-27T13:19:40
063347851fa2444faabc52bb58908172,2,2019-12-27T15:03:03,Yes,,Yes,Yes,Yes,5,Class five completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-27T15:04:19
063347851fa2444faabc52bb58908172,3,2019-12-27T15:04:37,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-27T15:05:34
063347851fa2444faabc52bb58908172,4,2019-12-27T13:19:59,Yes,,Yes,Yes,Yes,10,Class ten completed,Yes,Class eleven,,,Public,Yes,,,,Yes,Yes,Foreign Languages,Yes,Class ten,380000,No expenses / Don't Know,150000,80000,No expenses / Don't Know,450000,4000,,ALONE,2019-12-27T13:26:13
063347851fa2444faabc52bb58908172,5,2019-12-27T13:26:19,No,1,Yes,Yes,Yes,7,Class seven completed,Yes,Class eight,,,Public,Yes,,,,Yes,Yes,Foreign Languages,Yes,Class seven,180000,100000,60000,45000,No expenses / Don't Know,No expenses / Don't Know,3000,,ALONE,2019-12-27T13:37:39
063347851fa2444faabc52bb58908172,6,2019-12-27T13:38:39,No,1,Yes,No,Yes,1,Class one completed,Yes,Class two,,,Public,No,,,,No,,,Yes,Class one,No expenses / Don't Know,No expenses / Don't Know,15000,10000,No expenses / Don't Know,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-12-27T13:42:22
063347851fa2444faabc52bb58908172,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06a094e3a0454503acef84df27ec5ca5,1,2019-11-15T11:17:04,Yes,,Yes,Yes,Yes,12,Higher education certificate (BacII),No,,,,,,,,,Yes,No,,No,,,,,,,,,,ALONE,2019-11-15T11:24:54
06a094e3a0454503acef84df27ec5ca5,2,2019-11-15T11:25:09,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-15T11:26:05
06a094e3a0454503acef84df27ec5ca5,3,2019-11-15T11:26:09,No,2,Yes,Yes,Yes,5,Class five completed,Yes,Class five,,,Public,No,,,,No,,,No,,,,,,,,,,ALONE,2019-11-15T11:33:02
06a8088c4e1c45ebb5421d18017fc9cf,1,2019-11-23T17:14:14,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-23T18:12:14
06a8088c4e1c45ebb5421d18017fc9cf,2,2019-11-23T18:12:17,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-23T18:12:33
06a8088c4e1c45ebb5421d18017fc9cf,3,2019-11-23T18:12:37,No,2,Yes,Yes,Yes,9,Don´t know,Yes,Class eight,,,Public,Yes,,,,No,,,Yes,Class seven,624000,240000,80000,30000,1560000,No expenses / Don't Know,40000,,ALONE,2019-11-23T18:13:46
06a8088c4e1c45ebb5421d18017fc9cf,4,2019-11-23T18:13:50,No,2,Yes,Yes,Yes,7,Class six completed,Yes,Class seven,,,Public,Yes,,,,No,,,Yes,Class six,468000,120000,40000,15000,250000,80000,30000,,ALONE,2019-11-23T18:14:42
06b11d0e8d6341369e35605d6a5d008e,1,2019-11-15T16:29:27,Yes,,Yes,Yes,Yes,6,Class six completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-15T16:30:14
06b11d0e8d6341369e35605d6a5d008e,2,2019-11-15T16:30:26,Yes,,Yes,Yes,Yes,6,Class six completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-15T16:31:05
06bc8a36c0ac4068a59b5ac245008104,1,2019-12-09T13:59:57,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-09T14:00:32
06bc8a36c0ac4068a59b5ac245008104,2,2019-12-09T10:21:36,Yes,,No,No,No,,,,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-09T10:22:18
06e4cc5c48f54eccbb63a1ad21aaeb3c,1,2019-11-27T16:38:13,Yes,,Yes,Yes,Yes,3,Class three completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-27T16:39:30
0714d4a6cb98400db05a82ac8b3486bc,1,2019-11-21T10:57:57,Yes,,Yes,Yes,Yes,6,Class five completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-21T10:59:35
0714d4a6cb98400db05a82ac8b3486bc,2,2019-11-21T10:22:09,Yes,,Yes,Yes,Yes,3,Class two completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-21T10:22:57
0714d4a6cb98400db05a82ac8b3486bc,3,2019-11-21T10:23:02,No,2,Yes,Yes,Yes,5,Class four completed,Yes,Class five,,,Public,Yes,,,,No,,,Yes,Class four,No expenses / Don't Know,200000,10000,3000,No expenses / Don't Know,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-11-21T10:26:12
0714d4a6cb98400db05a82ac8b3486bc,4,2019-11-21T10:26:20,No,2,Yes,Yes,Yes,4,Class three completed,Yes,Class three,,,Public,Yes,,,,No,,,Yes,Class two,No expenses / Don't Know,200000,10000,3000,No expenses / Don't Know,No expenses / Don't Know,No expenses / Don't Know,,ALONE,2019-11-21T10:28:08
0714d4a6cb98400db05a82ac8b3486bc,5,2019-11-21T10:28:15,No,2,No,No,No,,,,,,,,,Too young,,,No,,,No,,,,,,,,,,ALONE,2019-11-21T10:30:17
075e1835cbd94a3086b0d371d877e5fe,1,2019-12-11T16:45:18,Yes,,Yes,Yes,Yes,9,Class eight completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-11T16:45:55
075e1835cbd94a3086b0d371d877e5fe,2,2019-12-11T16:45:59,Yes,,Yes,Yes,Yes,14,College/university undergraduate but no degree,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-11T16:46:51
075e1835cbd94a3086b0d371d877e5fe,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0779acafac4d4165a3004be41915f959,1,2019-10-23T15:37:15,Yes,,Yes,Yes,Yes,18,"Bachelor degree (B.A., BSc, etc.)",No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-10-23T15:38:58
0779acafac4d4165a3004be41915f959,2,2019-10-23T15:53:34,Yes,,Yes,Yes,Yes,12,Higher education certificate (BacII),No,,,,,,,,,Yes,No,,No,,,,,,,,,,ALONE,2019-10-23T16:00:57
0779acafac4d4165a3004be41915f959,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07cdde296ec44a5d92e6b1f5c035cea4,1,2019-12-22T10:29:15,Yes,,Yes,Yes,Yes,6,Class six completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-22T10:32:36
08297a2fd51f487aace781b8a2c76727,1,2019-12-07T10:17:53,Yes,,Yes,Yes,Yes,6,Class six completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-07T10:21:26
08297a2fd51f487aace781b8a2c76727,2,2019-12-07T14:42:09,Yes,,Yes,Yes,Yes,2,Class two completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-12-07T14:42:59
08297a2fd51f487aace781b8a2c76727,3,2019-12-07T14:43:05,No,2,No,No,Yes,1,Pre-school/Kindergarten,Yes,Class one,,,"Other (Specify)""",Yes,,,,Yes,Yes,Foreign Languages,Yes,Pre-school/Kindergarten,338000,No expenses / Don't Know,20000,30000,No expenses / Don't Know,234000,No expenses / Don't Know,,ALONE,2019-12-07T14:59:35
0829929f2bf64718a161f20440ba6b04,1,2019-11-28T10:09:20,Yes,,Yes,No,No,,,,,,,,,,,,Yes,No,,No,,,,,,,,,,ALONE,2019-11-28T10:10:35
0829929f2bf64718a161f20440ba6b04,2,2019-11-29T08:08:11,Yes,,Yes,Yes,Yes,7,Class seven completed,No,,,,,,,,,No,,,No,,,,,,,,,,ALONE,2019-11-29T08:11:28
